Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,1.626865671641791,0.008636358340472002,1.6268937605616154,1.6268937605616154,196.0,5.0,104,0.67,0.67
Class1,P2,modified_scholkmann0-5,20.873417721518987,0.060001941639479896,20.873541182395083,20.493788085686695,24.0,57.0,276,0.27,0.2633333333333333
Class1,P3,modified_scholkmann0-5,3.909433962264151,0.014298975271609319,3.9094722095083365,2.4226502220847888,219.0,67.0,81,0.9533333333333334,0.8833333333333333
Class2,P1,modified_scholkmann0-5,5.319148936170213,0.016801964479151967,5.319191753487262,5.319191753487262,32.0,15.0,268,0.15666666666666668,0.15666666666666668
Class2,P2,modified_scholkmann0-5,5.936708860759493,0.010228799969399313,5.93672236157668,5.7046546850541375,186.0,55.0,114,0.8033333333333333,0.79
Class2,P3,modified_scholkmann0-5,13.022598870056497,0.0896619803215436,13.02296757601203,11.791297260181652,107.0,84.0,193,0.6366666666666667,0.59
Class3,P1,modified_scholkmann0-5,,,,,0.0,0.0,300,0.0,0.0
Class3,P2,modified_scholkmann0-5,5.688372093023256,0.012690266304600009,5.688397119384656,5.688397119384656,156.0,59.0,144,0.7166666666666667,0.7166666666666667
Class3,P3,modified_scholkmann0-5,13.503424657534246,0.0701398947727806,13.503641745122168,13.503641745122168,122.0,170.0,178,0.9733333333333334,0.9733333333333334
Class4,P1,modified_scholkmann0-5,,,,,0.0,0.0,100,0.0,0.0
Class4,P2,modified_scholkmann0-5,1.290909090909091,0.001601483143127475,1.2909105746352396,1.2909105746352396,50.0,5.0,50,0.55,0.55
Class4,P3,modified_scholkmann0-5,,,,,0.0,0.0,100,0.0,0.0
