Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,"concave_d2x=-0,002",1.2242990654205608,0.0055069317898593356,1.2243151522410258,1.2243151522410258,0.7133333333333334,300.0,214.0
Class1,P2,"concave_d2x=-0,002",5.375,0.01050547086845888,5.375014941947179,4.437507575519764,0.056666666666666664,300.0,16.0
Class1,P3,"concave_d2x=-0,002",9.571428571428571,0.04215303007698123,9.57156679887009,8.542952909518235,0.12333333333333334,300.0,35.0
Class2,P1,"concave_d2x=-0,002",2.3969849246231156,0.012694259050318943,2.397026446883866,2.1105944131096086,0.6833333333333333,300.0,199.0
Class2,P2,"concave_d2x=-0,002",8.245098039215685,0.012784932364050348,8.245117168552966,7.058842091118712,0.36666666666666664,300.0,102.0
Class2,P3,"concave_d2x=-0,002",12.056603773584905,0.06535366391809591,12.056839210002206,10.754908242360663,0.19,300.0,53.0
Class3,P1,"concave_d2x=-0,002",2.2131147540983607,0.011061759773033288,2.2131476277230187,2.2131476277230187,0.20333333333333334,300.0,61.0
Class3,P2,"concave_d2x=-0,002",1.7720588235294117,0.00612470270118073,1.7720748329142975,1.7720748329142975,0.4533333333333333,300.0,136.0
Class3,P3,"concave_d2x=-0,002",22.091549295774648,0.09656562643108271,22.091845338664022,21.27493858082497,0.5033333333333333,300.0,142.0
Class4,P1,"concave_d2x=-0,002",,,,,0.06,100.0,6.0
Class4,P2,"concave_d2x=-0,002",1.0,0.00139070745905423,1.0000009670331507,1.0000009670331507,0.01,100.0,1.0
Class4,P3,"concave_d2x=-0,002",,,,,0.06,100.0,6.0
