Method_Variant,Class,Peak,Mean_XY_Error,Num_Signals_with_Peak,Num_Signals_in_Class,Detection_Rate
modified_scholkmann0-5,Class1,P1,0.612168354869167,263,300,0.8766666666666667
modified_scholkmann0-5,Class1,P2,29.436055893456956,226,300,0.7533333333333333
modified_scholkmann0-5,Class1,P3,5.383389720667015,270,300,0.9
modified_scholkmann0-5,Class2,P1,16.89604243123489,125,300,0.4166666666666667
modified_scholkmann0-5,Class2,P2,9.124329140934055,299,300,0.9966666666666667
modified_scholkmann0-5,Class2,P3,17.614114130943147,204,300,0.68
modified_scholkmann0-5,Class3,P1,,0,300,0.0
modified_scholkmann0-5,Class3,P2,8.818536025900764,281,300,0.9366666666666666
modified_scholkmann0-5,Class3,P3,13.214996761773461,298,300,0.9933333333333333
modified_scholkmann0-5,Class4,P1,,0,100,0.0
modified_scholkmann0-5,Class4,P2,1.5957456984321328,94,100,0.94
modified_scholkmann0-5,Class4,P3,,0,100,0.0
modified_scholkmann1,Class1,P1,0.6275314455542655,247,300,0.8233333333333334
modified_scholkmann1,Class1,P2,29.75922778668746,222,300,0.74
modified_scholkmann1,Class1,P3,5.418924803222711,265,300,0.8833333333333333
modified_scholkmann1,Class2,P1,18.674153982942347,112,300,0.37333333333333335
modified_scholkmann1,Class2,P2,8.911324405369605,295,300,0.9833333333333333
modified_scholkmann1,Class2,P3,17.900392735378496,203,300,0.6766666666666666
modified_scholkmann1,Class3,P1,,0,300,0.0
modified_scholkmann1,Class3,P2,8.818536025900764,281,300,0.9366666666666666
modified_scholkmann1,Class3,P3,13.214996761773461,298,300,0.9933333333333333
modified_scholkmann1,Class4,P1,,0,100,0.0
modified_scholkmann1,Class4,P2,1.5957456984321328,94,100,0.94
modified_scholkmann1,Class4,P3,,0,100,0.0
modified_scholkmann_1-2_95,Class1,P1,2.461942598773262,123,300,0.41
modified_scholkmann_1-2_95,Class1,P2,24.316703385448932,286,300,0.9533333333333334
modified_scholkmann_1-2_95,Class1,P3,8.80701547191451,272,300,0.9066666666666666
modified_scholkmann_1-2_95,Class2,P1,21.23488166075103,154,300,0.5133333333333333
modified_scholkmann_1-2_95,Class2,P2,10.368012327055458,300,300,1.0
modified_scholkmann_1-2_95,Class2,P3,18.23421195122587,247,300,0.8233333333333334
modified_scholkmann_1-2_95,Class3,P1,,0,300,0.0
modified_scholkmann_1-2_95,Class3,P2,12.86764370272939,287,300,0.9566666666666667
modified_scholkmann_1-2_95,Class3,P3,9.41288154264576,300,300,1.0
modified_scholkmann_1-2_95,Class4,P1,,0,100,0.0
modified_scholkmann_1-2_95,Class4,P2,3.4507394297174256,100,100,1.0
modified_scholkmann_1-2_95,Class4,P3,,0,100,0.0
modified_scholkmann_1-2_99,Class1,P1,1.67164860594698,67,300,0.22333333333333333
modified_scholkmann_1-2_99,Class1,P2,24.482308111268647,240,300,0.8
modified_scholkmann_1-2_99,Class1,P3,6.932065928135397,242,300,0.8066666666666666
modified_scholkmann_1-2_99,Class2,P1,20.933064663092203,102,300,0.34
modified_scholkmann_1-2_99,Class2,P2,9.586094686146918,299,300,0.9966666666666667
modified_scholkmann_1-2_99,Class2,P3,17.794847214989566,205,300,0.6833333333333333
modified_scholkmann_1-2_99,Class3,P1,,0,300,0.0
modified_scholkmann_1-2_99,Class3,P2,13.248367261559343,259,300,0.8633333333333333
modified_scholkmann_1-2_99,Class3,P3,8.060583355136169,299,300,0.9966666666666667
modified_scholkmann_1-2_99,Class4,P1,,0,100,0.0
modified_scholkmann_1-2_99,Class4,P2,1.0343649356135969,97,100,0.97
modified_scholkmann_1-2_99,Class4,P3,,0,100,0.0
