Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann1,3.682242990654206,0.017425613563655316,3.6822959245075593,3.6822959245075593,0.428,250.0,107.0
Class1,P2,modified_scholkmann1,23.333333333333332,0.0815617746642254,23.333675127595846,23.333675127595846,0.216,250.0,54.0
Class1,P3,modified_scholkmann1,3.831578947368421,0.007097180616967631,3.8315904769959426,3.2473737886255445,0.792,250.0,190.0
Class2,P1,modified_scholkmann1,8.5,0.04671996614626206,8.50016451675227,8.50016451675227,0.104,250.0,26.0
Class2,P2,modified_scholkmann1,7.464968152866242,0.019871241973553763,7.465005611136366,7.465005611136366,0.628,250.0,157.0
Class2,P3,modified_scholkmann1,15.969780219780219,0.09698383156494064,15.970150983195172,15.549813699901833,0.744,250.0,182.0
Class3,P1,modified_scholkmann1,,,,,0.0,250.0,0.0
Class3,P2,modified_scholkmann1,3.6706586826347305,0.005887596234006665,3.6706681090779374,3.6706681090779374,0.668,250.0,167.0
Class3,P3,modified_scholkmann1,17.91949152542373,0.11773291066387959,17.919970708920708,17.919970708920708,0.944,250.0,236.0
Class4,P1,modified_scholkmann1,,,,,0.0,50.0,0.0
Class4,P2,modified_scholkmann1,3.0,0.0012584642719399187,3.0000003436097296,3.0000003436097296,0.1,50.0,5.0
Class4,P3,modified_scholkmann1,,,,,0.0,50.0,0.0
