Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,1.626865671641791,0.004951854472187224,1.6268768128441056,1.6268768128441056,0.67,300.0,201.0
Class1,P2,modified_scholkmann0-5,20.873417721518987,0.05641018528212475,20.873525325348137,20.49377283852247,0.27,300.0,79.0
Class1,P3,modified_scholkmann0-5,3.909433962264151,0.011945090135680616,3.909467054802973,2.422645264808837,0.9533333333333334,300.0,265.0
Class2,P1,modified_scholkmann0-5,5.319148936170213,0.014013543748331454,5.319177710178434,5.319177710178434,0.15666666666666668,300.0,47.0
Class2,P2,modified_scholkmann0-5,5.936708860759493,0.013422404629853571,5.936731016132921,5.704663404473369,0.8033333333333333,300.0,237.0
Class2,P3,modified_scholkmann0-5,13.022598870056497,0.08713740675897963,13.022963096970015,11.791293521184844,0.6366666666666667,300.0,177.0
Class3,P1,modified_scholkmann0-5,,,,,0.0,300.0,0.0
Class3,P2,modified_scholkmann0-5,5.688372093023256,0.013550794164380887,5.688400330842646,5.688400330842646,0.7166666666666667,300.0,215.0
Class3,P3,modified_scholkmann0-5,13.503424657534246,0.07026349897617197,13.503648872557697,13.503648872557697,0.9733333333333334,300.0,292.0
Class4,P1,modified_scholkmann0-5,,,,,0.0,100.0,0.0
Class4,P2,modified_scholkmann0-5,1.290909090909091,0.0011491295664031842,1.2909097944522454,1.2909097944522454,0.55,100.0,55.0
Class4,P3,modified_scholkmann0-5,,,,,0.0,100.0,0.0
